id,title,intervention_name,summary,public_summary,link,citation,program_success,city,geography,region,source_type,race,intervention_goal,implementers,scale,country,program_components,population,status
1,Prevention Point Pittsburgh Overdose Prevention Program,Layperson Training in Administration of Naloxone,"Abstract: ""Prevention Point Pittsburgh (PPP) is a public health advocacy organization that operates Allegheny County's only needle exchange program. In 2002, PPP implemented an Overdose Prevention Program (OPP) in response to an increase in heroin-related and opioid-related overdose fatalities in the region. In 2005, the OPP augmented overdose prevention and response trainings to include naloxone training and prescription. The objective of our study is to describe the experiences of 426 individuals who participated in the OPP between July 1, 2005, and December 31, 2008. Of these 249 overdose episodes in which naloxone was administered, participants reported 96% were reversed. The data support findings from a growing body of research on similar programs in other cities. Community-based OPPs that equip drug users with skills to identify and respond to an overdose and prescribe naloxone can help users and their peers prevent and reverse potentially fatal overdoses without significant adverse consequences."" (Bennett et al., 2011)","Abstract: ""Prevention Point Pittsburgh (PPP) is a public health advocacy organization that operates Allegheny County's only needle exchange program. In 2002, PPP implemented an Overdose Prevention Program (OPP) in response to an increase in heroin-related and opioid-related overdose fatalities in the region. In 2005, the OPP augmented overdose prevention and response trainings to include naloxone training and prescription. The objective of our study is to describe the experiences of 426 individuals who participated in the OPP between July 1, 2005, and December 31, 2008. Of these 249 overdose episodes in which naloxone was administered, participants reported 96% were reversed. The data support findings from a growing body of research on similar programs in other cities. Community-based OPPs that equip drug users with skills to identify and respond to an overdose and prescribe naloxone can help users and their peers prevent and reverse potentially fatal overdoses without significant adverse consequences."" (Bennett et al., 2011)",https://link.springer.com/article/10.1007/s11524-011-9600-7,"Bennett, A. S., Bell, A., Tomedi, L., Hulsey, E. G., & Kral, A. H. (2011). Characteristics of an overdose prevention, response, and naloxone distribution program in Pittsburgh and Allegheny County, Pennsylvania. Journal of Urban Health, 88(6), 1020-1030.",Significant Improvement, Pittsburgh,PA,,Published Literature,,Harm Reduction,"Community Officials,County Officials",,,"Naloxone,Syringe Services",General,APPROVED
2,At-Home Drug Disposal Pouch,Drug Disposal Programs,"Abstract: ""This paper reports the results of an at-home environmentally safe, convenient, and effective drug disposal system in the form of a carbon-based drug deactivation pouch. Deactivation started immediately after addition of the medications into the disposal pouches. Within 8 h, around 47%, 70% and 97% of diazepam, lorazepam and buprenorphine were adsorbed by the activated carbon, respectively. By the end of 28 days, over 99% of all drugs were deactivated. Context: The improper disposal of unused prescription opioids has a potential for abuse as well as environmental contamination. Consequently, there is an imperative need for an environmentally safe, convenient, and effective drug disposal system. Objective: The objective of this study is to analyze the deactivation efficiency of the disposal system employing four model opioid drugs of high abuse potential Methods: The deactivation system used in this investigation is an activated granular carbon based disposal system in the form of a pouch, which can be used to safely and effectively deactivate unused or expired medications. HPLC method validation for each drug was performed prior to analyzing drug content in the deactivation study. Opioid drugs in different dosage forms were added to individual pouches in the presence of warm water. Pouches were shaken and sealed, then stored at room temperature. The deactivation efficiency of the system was tested by collecting samples at different time points up to 28-d. Results: An average of 98.72% of medications were adsorbed by activated carbon within 8-h and continued to do so over time. At the end of the 28-d study, more than 99.99% of all drugs were deactivated. In the desorption study, almost no drug leached out from the activated carbon in larger volume of water and less than 1.3% leached out on extraction with ethanol. Conclusion: This unique drug disposal system successfully adsorbed and deactivated the model opioid medications by the end of 28-d, offering a safe and convenient route of disposal of unused or residual opioid drugs.""","Abstract: ""This paper reports the results of an at-home environmentally safe, convenient, and effective drug disposal system in the form of a carbon-based drug deactivation pouch. Deactivation started immediately after addition of the medications into the disposal pouches. Within 8 h, around 47%, 70% and 97% of diazepam, lorazepam and buprenorphine were adsorbed by the activated carbon, respectively. By the end of 28 days, over 99% of all drugs were deactivated. Context: The improper disposal of unused prescription opioids has a potential for abuse as well as environmental contamination. Consequently, there is an imperative need for an environmentally safe, convenient, and effective drug disposal system. Objective: The objective of this study is to analyze the deactivation efficiency of the disposal system employing four model opioid drugs of high abuse potential Methods: The deactivation system used in this investigation is an activated granular carbon based disposal system in the form of a pouch, which can be used to safely and effectively deactivate unused or expired medications. HPLC method validation for each drug was performed prior to analyzing drug content in the deactivation study. Opioid drugs in different dosage forms were added to individual pouches in the presence of warm water. Pouches were shaken and sealed, then stored at room temperature. The deactivation efficiency of the system was tested by collecting samples at different time points up to 28-d. Results: An average of 98.72% of medications were adsorbed by activated carbon within 8-h and continued to do so over time. At the end of the 28-d study, more than 99.99% of all drugs were deactivated. In the desorption study, almost no drug leached out from the activated carbon in larger volume of water and less than 1.3% leached out on extraction with ethanol. Conclusion: This unique drug disposal system successfully adsorbed and deactivated the model opioid medications by the end of 28-d, offering a safe and convenient route of disposal of unused or residual opioid drugs.""",https://www.ncbi.nlm.nih.gov/pubmed/28956648,"Gao, X., Bakshi, P., Sunkara Ganti, S., Manian, M., Korey, A., Fowler, W., & Banga, A. K. (2018). Evaluation of an activated carbon-based deactivation system for the disposal of highly abused opioid medications. Drug development and industrial pharmacy, 44(1), 125-134.",Significant Improvement,,,,Published Literature,,Prevention,Public Health Officials,,Domestic,Prescription Drug Disposal,General,APPROVED
3,Buprenorphine Taper Duration,Medication Assisted Treatment Related Programs & Policies,"Abstract: ""A double blind, placebo controlled, multicenter randomized controlled trial where youth participants were assigned behavioral counseling, abstinence incentives, and buprenorphine for either 28 days or 56 days. The goal of this intervention was to determine if the length of the intervention effected abstinence and treatment retention. It was found that the longer (56-day) buprenorphine taper produces better opioid abstinence and retention outcomes than shorter (28-day) buprenorphine taper for opioid-dependent youth. Those in the 56-day treatment had significantly more opioid negative urine samples than the 28-day group (35% vs 17%, p=.039, Cohen's d=0.57, 95% CI: 0.02,1.13) and stayed in the treatment significantly longer  (37.5 vs 26.4 days, p=.027, Cohen's d=0.63, 95% CI: 0.06, 1.19). Background and Aims: Few randomized controlled trials have evaluated buprenorphine treatment interventions for opioid-dependent youth. Consequently, optimal administration strategies for this cohort are unclear. Our aim was to evaluate the relative efficacy of two different buprenorphine taper lengths in promoting abstinence from illicit opioids and treatment retention among opioidâdependent youth. Design: A double-blind, placebo controlled, multicenter randomized controlled trial. Setting: Two hospital-based research clinics (Manhattan and Brooklyn) in New York City, USA from 2005 to 2010. Participants: Volunteer sample of 53 primarily Caucasian participants between the ages of 16 and 24 (n = 11 under age 18) who met DSMâIV opioid dependence criteria. Intervention: Participants were assigned randomly to either a 28-day buprenorphine taper (n = 28) or 56-day buprenorphine taper (n = 25) via a parallel-groups design during a 63-day period. Both groups received behavioral counseling and opioid abstinence incentives. Both taper conditions had a minimum of 1 week of placebo dosing at the end of the taper. Measurements: The primary outcome was opioid abstinence measured as a percentage of scheduled urine toxicology tests documented to be negative for opioids. The secondary outcome was treatment retention, measured as number of days attended scheduled visits. Findings: Intent-to-treat analyses revealed that participants who received a 56-day buprenorphine taper had a significantly higher percentage of opioid-negative scheduled urine tests compared with participants who received a 28-day buprenorphine taper [35 versus 17%,P = 0.039, Cohen's d = 0.57, 95% confidence interval (CI) = 0.02, 1.13]. Participants who received a 56-day buprenorphine taper were retained in treatment significantly longer than participants who received a 28-day buprenorphine taper (37.5 versus 26.4 days, P = 0.027, Cohen's d = 0.63, 95% CI = 0.06, 1.19). Daily attendance requirement was associated with decreased abstinence and shorter retention compared with a two to three times weekly attendance requirement, independent of taper duration. Follow-up data were insufficient to report. Conclusion: Longer (56-day) buprenorphine taper produces better opioid abstinence and retention outcomes than shorter (28-day) buprenorphine taper for opioid-dependent youth."" (Marsch et al., 2016)","Abstract: ""A double blind, placebo controlled, multicenter randomized controlled trial where youth participants were assigned behavioral counseling, abstinence incentives, and buprenorphine for either 28 days or 56 days. The goal of this intervention was to determine if the length of the intervention effected abstinence and treatment retention. It was found that the longer (56-day) buprenorphine taper produces better opioid abstinence and retention outcomes than shorter (28-day) buprenorphine taper for opioid-dependent youth. Those in the 56-day treatment had significantly more opioid negative urine samples than the 28-day group (35% vs 17%, p=.039, Cohen's d=0.57, 95% CI: 0.02,1.13) and stayed in the treatment significantly longer  (37.5 vs 26.4 days, p=.027, Cohen's d=0.63, 95% CI: 0.06, 1.19). Background and Aims: Few randomized controlled trials have evaluated buprenorphine treatment interventions for opioid-dependent youth. Consequently, optimal administration strategies for this cohort are unclear. Our aim was to evaluate the relative efficacy of two different buprenorphine taper lengths in promoting abstinence from illicit opioids and treatment retention among opioidâdependent youth. Design: A double-blind, placebo controlled, multicenter randomized controlled trial. Setting: Two hospital-based research clinics (Manhattan and Brooklyn) in New York City, USA from 2005 to 2010. Participants: Volunteer sample of 53 primarily Caucasian participants between the ages of 16 and 24 (n = 11 under age 18) who met DSMâIV opioid dependence criteria. Intervention: Participants were assigned randomly to either a 28-day buprenorphine taper (n = 28) or 56-day buprenorphine taper (n = 25) via a parallel-groups design during a 63-day period. Both groups received behavioral counseling and opioid abstinence incentives. Both taper conditions had a minimum of 1 week of placebo dosing at the end of the taper. Measurements: The primary outcome was opioid abstinence measured as a percentage of scheduled urine toxicology tests documented to be negative for opioids. The secondary outcome was treatment retention, measured as number of days attended scheduled visits. Findings: Intent-to-treat analyses revealed that participants who received a 56-day buprenorphine taper had a significantly higher percentage of opioid-negative scheduled urine tests compared with participants who received a 28-day buprenorphine taper [35 versus 17%,P = 0.039, Cohen's d = 0.57, 95% confidence interval (CI) = 0.02, 1.13]. Participants who received a 56-day buprenorphine taper were retained in treatment significantly longer than participants who received a 28-day buprenorphine taper (37.5 versus 26.4 days, P = 0.027, Cohen's d = 0.63, 95% CI = 0.06, 1.19). Daily attendance requirement was associated with decreased abstinence and shorter retention compared with a two to three times weekly attendance requirement, independent of taper duration. Follow-up data were insufficient to report. Conclusion: Longer (56-day) buprenorphine taper produces better opioid abstinence and retention outcomes than shorter (28-day) buprenorphine taper for opioid-dependent youth."" (Marsch et al., 2016)",https://onlinelibrary.wiley.com/doi/abs/10.1111/add.13363,"Marsch, L. A., Moore, S. K., Borodovsky, J. T., Solhkhah, R., Badger, G. J., Semino, S., ... & Hajizadeh, N. (2016). A randomized controlled trial of buprenorphine taper duration among opioid‐dependent adolescents and young adults. Addiction, 111(8), 1406-1415.",Findings Mixed,"Manhattan, Brooklyn",NY,,Published Literature,White,Treatment,Health Care Providers,Community,Domestic,Medication Assisted Treatment,Youth,REVOKED
4,The Brief Negotiation Interview with Emergency Department Initiated Buprenorphine,Offering Pharmacotherapy to High Risk Individuals at the ER,"The Brief Negotiation Interview (BNI) with Emergency Department (ED)-Initiated Buprenorphine is a program that seeks to increase treatment for ED patients with severe opioid use disorders. The BNI, which was developed in 2002 for problem alcohol use, was adapted for substance use orders in 2008, and further modified for opioid use disorders.

Designed for use with ED patients 18 years of age or older who present with moderate-to-severe opioid use disorder, the program can be used in hospitals and other healthcare settings. It is designed to engage patients in treatment for opioid dependence and expand their access to medication-assisted treatment, and includes follow-up primary care management. Intended secondary effects include reductions in self-reported days of illicit opioid use and HIV-risk behaviors.","The Brief Negotiation Interview (BNI) with Emergency Department (ED)-Initiated Buprenorphine is a program that seeks to increase treatment for ED patients with severe opioid use disorders. The BNI, which was developed in 2002 for problem alcohol use, was adapted for substance use orders in 2008, and further modified for opioid use disorders.

Designed for use with ED patients 18 years of age or older who present with moderate-to-severe opioid use disorder, the program can be used in hospitals and other healthcare settings. It is designed to engage patients in treatment for opioid dependence and expand their access to medication-assisted treatment, and includes follow-up primary care management. Intended secondary effects include reductions in self-reported days of illicit opioid use and HIV-risk behaviors.",https://nrepp.samhsa.gov/ProgramProfile.aspx?id=132#hide4,"Substance Abuse and Mental Health Services  Administration. ED-BNI + Buprenorphine for Opioid Dependence. Retrieved July 12, 2018, from https://nrepp.samhsa.gov, https://nrepp.samhsa.gov/ProgramProfile.aspx?id=132#hide4  ",Clearinghouse Endorsement,,State(s) Not Specified,Not Specified,Clearinghouse,Not Specified,Treatment,Health Care Providers,Community,Domestic,"Medication Assisted Treatment,Pharmacotherapy,Motivational Interviewing",Adults,APPROVED
6,Celebrate Recovery,12-Step Recovery Program,Faith-based program to help people with addiction navigate the recovery process. The program has eight principles modeled/aligned with the 12-step recovery process. ,Faith-based program to help people with addiction navigate the recovery process. The program has eight principles modeled/aligned with the 12-step recovery process. ,http://roaneantidrug.org/about/,Roane County Anti-Drug Coalition (2018). What We Do. Retrieved from roaneantidrug.org/about/.,No Evaluation,,TN,Not Specified,Community Example,,"Treatment,Recovery","Community Officials,County Officials,Faith Communities,Anti-Drug Coalition,Non-Governmental Community Organization","Community,County",Domestic,"Behavioral,Mental Health,Recovery Program","General,Adults,Youth",REVOKED
8,Communities That Care,Other,"Abstract: ""Importance: Community-based efforts to prevent adolescent problem behaviors are essential to promote public health and achieve collective impact community wide. Objective: To test whether the Communities That Care (CTC) prevention system reduced levels of risk and adolescent problem behaviors community wide 8 years after implementation of CTC. Design, Setting, and Participants: A community-randomized trial was performed in 24 small towns in 7 states, matched within state, assigned randomly to a control or intervention group in 2003. All fifth-grade students attending public schools in study communities in 2003-2004 who received consent from their parents to participate (76.4% of the eligible population) were included. A panel of 4407 fifth graders was surveyed through 12th grade, with 92.5% of the sample participating at the last follow-up. Interventions: A coalition of community stakeholders received training and technical assistance to install CTC, used epidemiologic data to identify elevated risk factors and depressed protective factors for adolescent problem behaviors in the community, and implemented tested and effective programs for youths aged 10 to 14 years as well as their families and schools to address their community’s elevated risks. Main Outcomes and Measures: Levels of targeted risk; sustained abstinence, and cumulative incidence by grade 12; and current prevalence of tobacco, alcohol, and other drug use, delinquency, and violence in 12th grade. Results: By spring of 12th grade, students in CTC communities were more likely than students in control communities to have abstained from any drug use (adjusted risk ratio [ARR] = 1.32; 95% CI, 1.06-1.63), drinking alcohol (ARR = 1.31; 95% CI, 1.09-1.58), smoking cigarettes (ARR = 1.13; 95% CI, 1.01-1.27), and engaging in delinquency (ARR = 1.18; 95% CI, 1.03-1.36). They were also less likely to ever have committed a violent act (ARR = 0.86; 95% CI, 0.76-0.98). There were no significant differences by intervention group in targeted risks, the prevalence of past-month or past-year substance use, or past-year delinquency or violence. Conclusions and Relevance: Using the CTC system continued to prevent the initiation of adolescent problem behaviors through 12th grade, 8 years after implementation of CTC and 3 years after study-provided resources ended, but did not produce reductions in current levels of risk or current prevalence of problem behavior in 12th grade."" (Hawkins et al., 2014)","Abstract: ""Importance: Community-based efforts to prevent adolescent problem behaviors are essential to promote public health and achieve collective impact community wide. Objective: To test whether the Communities That Care (CTC) prevention system reduced levels of risk and adolescent problem behaviors community wide 8 years after implementation of CTC. Design, Setting, and Participants: A community-randomized trial was performed in 24 small towns in 7 states, matched within state, assigned randomly to a control or intervention group in 2003. All fifth-grade students attending public schools in study communities in 2003-2004 who received consent from their parents to participate (76.4% of the eligible population) were included. A panel of 4407 fifth graders was surveyed through 12th grade, with 92.5% of the sample participating at the last follow-up. Interventions: A coalition of community stakeholders received training and technical assistance to install CTC, used epidemiologic data to identify elevated risk factors and depressed protective factors for adolescent problem behaviors in the community, and implemented tested and effective programs for youths aged 10 to 14 years as well as their families and schools to address their community’s elevated risks. Main Outcomes and Measures: Levels of targeted risk; sustained abstinence, and cumulative incidence by grade 12; and current prevalence of tobacco, alcohol, and other drug use, delinquency, and violence in 12th grade. Results: By spring of 12th grade, students in CTC communities were more likely than students in control communities to have abstained from any drug use (adjusted risk ratio [ARR] = 1.32; 95% CI, 1.06-1.63), drinking alcohol (ARR = 1.31; 95% CI, 1.09-1.58), smoking cigarettes (ARR = 1.13; 95% CI, 1.01-1.27), and engaging in delinquency (ARR = 1.18; 95% CI, 1.03-1.36). They were also less likely to ever have committed a violent act (ARR = 0.86; 95% CI, 0.76-0.98). There were no significant differences by intervention group in targeted risks, the prevalence of past-month or past-year substance use, or past-year delinquency or violence. Conclusions and Relevance: Using the CTC system continued to prevent the initiation of adolescent problem behaviors through 12th grade, 8 years after implementation of CTC and 3 years after study-provided resources ended, but did not produce reductions in current levels of risk or current prevalence of problem behavior in 12th grade."" (Hawkins et al., 2014)",https://jamanetwork.com/journals/jamapediatrics/fullarticle/1788472/?utm_campaign=articlePDF%26utm_medium=articlePDFlink%26utm_source=articlePDF%26utm_content=jama.2017.13767,"Hawkins, J. D., Oesterle, S., Brown, E. C., Abbott, R. D., & Catalano, R. F. (2014). Youth problem behaviors 8 years after implementing the communities that care prevention system: a community-randomized trial. JAMA pediatrics, 168(2), 122-129.",Findings Mixed,,"CO,IL,KS,ME,OR,UT,WA,KA",,Published Literature,"Black or African American,White,Hispanic or Latino","Prevention,Treatment","Health Care Providers,Community Officials,County Officials,Schools",Community,Domestic,Behavioral,Youth,APPROVED
10,Review of Community-Based Opioid Overdose Prevention Programs,Community Distribution of Naloxone,"Abstract: ""Community-based opioid overdose prevention programs (OOPPs) that include the distribution of naloxone have increased in response to alarmingly high overdose rates in recent years. This systematic review describes the current state of the literature on OOPPs, with particular focus on the effectiveness of these programs. We used systematic search criteria to identify relevant articles, which we abstracted and assigned a quality assessment score. Nineteen articles evaluating OOPPs met the search criteria for this systematic review. Principal findings included participant demographics, the number of naloxone administrations, percentage of survival in overdose victims receiving naloxone, post–naloxone administration outcome measures, OOPP characteristics, changes in knowledge pertaining to overdose responses, and barriers to naloxone administration during overdose responses. The current evidence from nonrandomized studies suggests that bystanders (mostly opioid users) can and will use naloxone to reverse opioid overdoses when properly trained, and that this training can be done successfully through OOPPs."" (Clark, Wilder, & Winstanley, 2014) ","Abstract: ""Community-based opioid overdose prevention programs (OOPPs) that include the distribution of naloxone have increased in response to alarmingly high overdose rates in recent years. This systematic review describes the current state of the literature on OOPPs, with particular focus on the effectiveness of these programs. We used systematic search criteria to identify relevant articles, which we abstracted and assigned a quality assessment score. Nineteen articles evaluating OOPPs met the search criteria for this systematic review. Principal findings included participant demographics, the number of naloxone administrations, percentage of survival in overdose victims receiving naloxone, post–naloxone administration outcome measures, OOPP characteristics, changes in knowledge pertaining to overdose responses, and barriers to naloxone administration during overdose responses. The current evidence from nonrandomized studies suggests that bystanders (mostly opioid users) can and will use naloxone to reverse opioid overdoses when properly trained, and that this training can be done successfully through OOPPs."" (Clark, Wilder, & Winstanley, 2014) ",https://journals.lww.com/journaladdictionmedicine/Abstract/2014/05000/A_SysteMedication Assisted Treatmentic_Review_of_Community_Opioid_Overdose.1.aspx,"Clark, A. K., Wilder, C. M., & Winstanley, E. L. (2014). A systematic review of community opioid overdose prevention and naloxone distribution programs. Journal of addiction medicine, 8(3), 153-163.",Significant Improvement,,,Not Specified,Published Literature,"Black or African American,White","Harm Reduction,Treatment","Health Care Providers,Community Officials,County Officials,Police,First Responders",,Domestic,"Naloxone,Training",General,APPROVED
11,Computerized Behavior Therapy,Other,"This study examines whether there is an overall difference between the replacement of counselor delivered therapy with computer delivered therapy as part of the treatment package as compared to the treatment package with counselor delivered therapy. Abstract: ""The authors evaluated the efficacy of an interactive, computer-based behavioral therapy intervention, grounded in the community reinforcement approach (CRA) plus voucher-based contingency management model of behavior therapy. Our randomized, controlled trial was conducted at a university-based research clinic. Participants comprised 135 volunteer adult outpatients who met DSM-IV criteria for opioid dependence. All participants received maintenance treatment with buprenorphine and were randomly assigned to one of three treatments: (a) therapist-delivered CRA treatment with vouchers, (b) computer-assisted CRA treatment with vouchers, or (c) standard treatment. The therapist-delivered and computer-assisted CRA plus vouchers interventions produced comparable weeks of continuous opioid and cocaine abstinence (M = 7.98 and 7.78, respectively) and significantly greater weeks of abstinence than the standard intervention (M = 4.69, p < .05), yet participants in the computer-assisted CRA condition had over 80% of their intervention delivered by an interactive computer program. The comparable efficacy obtained with computer-assisted and therapist-delivered therapy may enable more widespread dissemination of the evidence-based CRA plus vouchers intervention in a manner that is cost-effective and ensures treatment fidelity."" (Bickel et al., 2008)","This study examines whether there is an overall difference between the replacement of counselor delivered therapy with computer delivered therapy as part of the treatment package as compared to the treatment package with counselor delivered therapy. Abstract: ""The authors evaluated the efficacy of an interactive, computer-based behavioral therapy intervention, grounded in the community reinforcement approach (CRA) plus voucher-based contingency management model of behavior therapy. Our randomized, controlled trial was conducted at a university-based research clinic. Participants comprised 135 volunteer adult outpatients who met DSM-IV criteria for opioid dependence. All participants received maintenance treatment with buprenorphine and were randomly assigned to one of three treatments: (a) therapist-delivered CRA treatment with vouchers, (b) computer-assisted CRA treatment with vouchers, or (c) standard treatment. The therapist-delivered and computer-assisted CRA plus vouchers interventions produced comparable weeks of continuous opioid and cocaine abstinence (M = 7.98 and 7.78, respectively) and significantly greater weeks of abstinence than the standard intervention (M = 4.69, p < .05), yet participants in the computer-assisted CRA condition had over 80% of their intervention delivered by an interactive computer program. The comparable efficacy obtained with computer-assisted and therapist-delivered therapy may enable more widespread dissemination of the evidence-based CRA plus vouchers intervention in a manner that is cost-effective and ensures treatment fidelity."" (Bickel et al., 2008)",http://psycnet.apa.org/buy/2008-03846-004,"Bickel, W. K., Marsch, L. A., Buchhalter, A. R., & Badger, G. J. (2008). Computerized behavior therapy for opioid-dependent outpatients: a randomized controlled trial. Experimental and clinical psychopharmacology, 16(2), 132.",Significant Improvement,,VT,Not Specified,Published Literature,,"Treatment,Recovery",Health Care Providers,,Domestic,"Cognitive Behavioral Therapy,Behavioral",Adults,APPROVED
12,Contingency Management Treatment,Contingency Management,"Patients who were enrolled in intensive outpatient care for cocaine use were randomly assigned to Medication Assisted Treatmentive care or Medication Assisted Treatmentive care plus contingency management (CM) to assess whether CM improves their quality of life and if abstinence mediates these effects. QoL scores were gathered after 1, 3, 6, 9 months and found that scores increased over time within the intervention group compared to the stable scores in the control group. The CM group also saw greater durations of abstinence which correlated with QoL scores.  (QOLI) total scores increased significantly over time for CM participants, Standard care group members achieved 3.5 weeks (Â± 3 weeks) of abstinence, compared with 5.8 weeks (Â± 4.5 weeks) for those in the CM group, LDA was a significant predictor of changes in QOLI. Abstract: ""Contingency management (CM) treatments enhance drug abstinence. This study evaluated whether CM also improves quality of life and if these effects are mediated by abstinence. Across 3 independent trials, cocaine abusers in intensive outpatient treatment (n = 387) were randomly assigned to 12 weeks of standard treatment as usual or standard treatment with CM. The Quality Of Life Inventory (QOLI) was administered at baseline and at Months 1, 3, 6, and 9. Changes in QOLI scores over time differed significantly by treatment, with QOLI scores rising over time in CM participants and remaining stable in standard treatment participants. CM participants also achieved greater durations of abstinence, and duration of abstinence was correlated with posttreatment QOLI scores. During-treatment abstinence mediated the relationship between treatment condition and QOLI scores over time."" (Petry, Alessi, & Hanson, 2007)","Patients who were enrolled in intensive outpatient care for cocaine use were randomly assigned to Medication Assisted Treatmentive care or Medication Assisted Treatmentive care plus contingency management (CM) to assess whether CM improves their quality of life and if abstinence mediates these effects. QoL scores were gathered after 1, 3, 6, 9 months and found that scores increased over time within the intervention group compared to the stable scores in the control group. The CM group also saw greater durations of abstinence which correlated with QoL scores.  (QOLI) total scores increased significantly over time for CM participants, Standard care group members achieved 3.5 weeks (Â± 3 weeks) of abstinence, compared with 5.8 weeks (Â± 4.5 weeks) for those in the CM group, LDA was a significant predictor of changes in QOLI. Abstract: ""Contingency management (CM) treatments enhance drug abstinence. This study evaluated whether CM also improves quality of life and if these effects are mediated by abstinence. Across 3 independent trials, cocaine abusers in intensive outpatient treatment (n = 387) were randomly assigned to 12 weeks of standard treatment as usual or standard treatment with CM. The Quality Of Life Inventory (QOLI) was administered at baseline and at Months 1, 3, 6, and 9. Changes in QOLI scores over time differed significantly by treatment, with QOLI scores rising over time in CM participants and remaining stable in standard treatment participants. CM participants also achieved greater durations of abstinence, and duration of abstinence was correlated with posttreatment QOLI scores. During-treatment abstinence mediated the relationship between treatment condition and QOLI scores over time."" (Petry, Alessi, & Hanson, 2007)",http://psycnet.apa.org/record/2007-04141-011,"Petry, N. M., Alessi, S. M., & Hanson, T. (2007). Contingency management improves abstinence and quality of life in cocaine abusers. Journal of Consulting and Clinical Psychology, 75(2), 307.",Significant Improvement,,"CT,MA",,Published Literature,,"Harm Reduction,Treatment,Recovery",Health Care Providers,,,"Training,Medication Assisted Treatment,Behavioral,Mental Health",Adults,REVOKED
13,Advance Guidelines on the Co-Prescription of Naloxone ,Co-Prescription of Naloxone,"""Physicians offer naloxone as a co-prescriptions when factors that increase risk for opioid overdose, such as history of overdose, history of substance use disorder, higher opioid dosages (50 MME/day), or concurrent benzodiazepine use, are present. However, to date, there is no consensus on the most appropriate patients for naloxone co- prescription. 1+ study demonstrated a positive effect on opioid-related ED visits associated with co-prescribing naloxone to patients treated with opioids for chronic pain."" Studies Cited: 280","""Physicians offer naloxone as a co-prescriptions when factors that increase risk for opioid overdose, such as history of overdose, history of substance use disorder, higher opioid dosages (50 MME/day), or concurrent benzodiazepine use, are present. However, to date, there is no consensus on the most appropriate patients for naloxone co- prescription. 1+ study demonstrated a positive effect on opioid-related ED visits associated with co-prescribing naloxone to patients treated with opioids for chronic pain."" Studies Cited: 280",https://www.jhsph.edu/events/2017/americas-opioid-epidemic/report/2017-JohnsHopkins-Opioid-digital.pdf,"Alexander GC, Frattaroli S, Gielen AC, eds. The Opioid Epidemic: From Evidence to Impact. Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland: 2017.",,,,Not Specified,Report,,Harm Reduction,Health Care Providers,,Domestic,"Naloxone,Training",General,REJECTED
